source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
crea,000020,"Farro perlato, crudo",it,,cat1,100,g,69.3,14.6,2.4,353,crea-2019
crea,000025,"Farro perlato, cotto, bollito",it,,cat1,100,g,37.3,6.2,1,178,crea-2019
crea,000030,Frumento duro,it,,cat1,100,g,62.5,13,2.9,332,crea-2019
crea,000040,Frumento tenero,it,,cat1,100,g,65.2,12.3,2.6,336,crea-2019
crea,000045,"Couscous, crudo",it,,cat1,100,g,76.5,13.7,1.1,361,crea-2019
crea,000046,"Couscous, cotto",it,,cat1,100,g,39.7,3.6,1.1,179,crea-2019
crea,000050,Grano saraceno,it,,cat1,100,g,61.2,12.4,3.3,329,crea-2019
crea,000060,Mais,it,,cat1,100,g,75.1,9.2,3.8,357,crea-2019
crea,000070,"Mais, dolce, in scatola, sgocciolato",it,,cat1,100,g,20.5,3.4,1.3,105,crea-2019
crea,000075,"Polenta, cruda",it,,cat1,100,g,72.7,8,0.7,323,crea-2019
crea,000076,"Polenta, cotta",it,,cat1,100,g,17.8,0.9,0.04,73,crea-2019
crea,000080,Miglio,it,,cat1,100,g,64.9,11.8,3.9,343,crea-2019
crea,000081,"Miglio, decorticato",it,,cat1,100,g,67.8,11,4.2,342,crea-2019
crea,000090,Orzo perlato,it,,cat1,100,g,73.7,9.4,1.5,346,crea-2019
crea,000095,"Orzo perlato, cotto, bollito",it,,cat1,100,g,26.4,2.6,0.6,118,crea-2019
crea,000096,"Quinoa, cruda",it,,cat1,100,g,57.8,15.4,8.1,376,crea-2019
crea,000097,"Quinoa, cotta, bollita",it,,cat1,100,g,24.3,4.8,2.5,140,crea-2019
crea,000100,"Riso, brillato",it,,cat1,100,g,80.4,6.7,0.4,334,crea-2019
crea,000105,"Riso, brillato, cotto, bollito",it,,cat1,100,g,24.2,2,0.1,100,crea-2019
crea,000110,"Riso, integrale",it,,cat1,100,g,77.4,7.5,1.9,341,crea-2019
crea,000115,"Riso, integrale, cotto, bollito",it,,cat1,100,g,25.5,2.5,0.6,113,crea-2019
crea,000120,"Riso, parboiled",it,,cat1,100,g,81.3,7.4,0.3,338,crea-2019
crea,000125,"Riso, parboiled, cotto, bollito",it,,cat1,100,g,23.3,2.1,0.1,97,crea-2019
crea,000130,"Riso Basmati, crudo",it,,cat1,100,g,82.9,9,1.9,367,crea-2019
crea,000135,"Riso Basmati, cotto, bollito",it,,cat1,100,g,25.2,3,0.6,113,crea-2019
crea,000140,"Riso Venere, crudo",it,,cat1,100,g,80.4,7.8,1.3,355,crea-2019
crea,000145,"Riso Venere, cotto, bollito",it,,cat1,100,g,36.9,3.5,0.3,160,crea-2019
crea,000150,Crusca di frumento,it,,cat1,100,g,26.6,14.1,5.5,290,crea-2019
crea,000200,Farina d'avena,it,,cat1,100,g,66.3,12.6,7.1,378,crea-2019
crea,000210,Farina d'orzo,it,,cat1,100,g,68.4,10.6,1.9,333,crea-2019
crea,000220,"Farina di frumento, tipo 00",it,,cat1,100,g,71.6,11,0.7,323,crea-2019
crea,000230,"Farina di frumento, tipo 0",it,,cat1,100,g,69.5,11.5,1,321,crea-2019
crea,000240,"Farina di frumento, integrale",it,,cat1,100,g,61.8,11.9,1.9,313,crea-2019
crea,000250,"Farina di frumento, duro",it,,cat1,100,g,63.2,12.9,2.8,330,crea-2019
crea,000260,Farina di mais,it,,cat1,100,g,73.5,8.7,2.7,341,crea-2019
crea,000270,Farina di riso,it,,cat1,100,g,79.1,7.3,0.5,332,crea-2019
crea,000280,Farina di segale,it,,cat1,100,g,67.8,11.7,2,342,crea-2019
crea,000290,Farina di soia,it,,cat2,100,g,23.4,36.8,23.5,469,crea-2019
crea,000300,"Mais, amido",it,,cat1,100,g,87,0.3,0,328,crea-2019
crea,000310,Semola,it,,cat1,100,g,76.9,11.5,0.5,346,crea-2019
crea,000320,Farina di manioca,it,,cat1,100,g,87.2,0.6,0.2,332,crea-2019
crea,000330,Germe di frumento,it,,cat1,100,g,43.5,26,10,378,crea-2019
crea,000500,Pane al malto,it,,cat1,100,g,56.6,8.3,2.4,278,crea-2019
crea,000510,Pane di segale,it,,cat1,100,g,45.4,8.3,1.7,228,crea-2019
crea,000530,Pane bianco,it,,cat1,100,g,59.5,8.1,0.5,268,crea-2019
crea,000540,Pane di tipo semintegrale,it,,cat1,100,g,52,8.3,0.3,239,crea-2019
crea,000550,Pane di tipo integrale,it,,cat1,100,g,44.1,8.5,1.3,224,crea-2019
crea,000560,Pane formato rosetta,it,,cat1,100,g,57.6,9,1.9,275,crea-2019
crea,000570,Pangrattato,it,,cat1,100,g,77.8,10.1,2.1,357,crea-2019
crea,000580,Panini al latte,it,,cat1,100,g,48.1,9,8.7,298,crea-2019
crea,000590,Panini all'olio,it,,cat1,100,g,52.6,7.7,5.8,288,crea-2019
crea,000600,Pane azzimo,it,,cat1,100,g,81.7,10.7,1,365,crea-2019
crea,000700,Pizza bianca,it,,cat1,100,g,57.9,7.9,5.9,306,crea-2019
crea,000710,Pizza con pomodoro,it,,cat1,100,g,40.7,7.6,6.6,248,crea-2019
crea,000720,Pizza con pomodoro e mozzarella,it,,cat1,100,g,35.5,12.1,7.6,255,crea-2019
crea,000800,Pasta di semola,it,,cat1,100,g,72.7,13.5,1.2,341,crea-2019
crea,000805,"Pasta di semola, cotta, bollita",it,,cat1,100,g,37.3,6.9,0.6,175,crea-2019
crea,000850,"Pasta di semola, integrale",it,,cat1,100,g,64.8,13.3,2.2,330,crea-2019
crea,000855,"Pasta di semola, integrale, cotta, bollita",it,,cat1,100,g,36,7.4,1.2,182,crea-2019
crea,000870,"Pasta all'uovo, secca",it,,cat1,100,g,71,13,2.4,346,crea-2019
crea,000871,"Pasta all'uovo, secca, cotta, bollita",it,,cat1,100,g,25.5,4.6,0.8,123,crea-2019
crea,000875,"Ravioli, crudi, freschi",it,,cat1,100,g,40.7,10.6,7.3,265,crea-2019
crea,000876,"Ravioli, cotti",it,,cat1,100,g,27.5,7.2,4.6,177,crea-2019
crea,000880,"Tortellini, freschi",it,,cat1,100,g,49.9,12.2,7.1,302,crea-2019
crea,000885,"Tortellini, freschi, cotti",it,,cat1,100,g,26,6.4,3.7,158,crea-2019
crea,000890,"Tortellini, secchi",it,,cat1,100,g,57.6,15.7,10.8,379,crea-2019
crea,000900,"Biscotti, frollini",it,,cat1,100,g,71.7,7.2,13.8,426,crea-2019
crea,000910,"Biscotti, integrali",it,,cat1,100,g,70.8,7.8,12.3,419,crea-2019
crea,000950,"Biscotti, secchi",it,,cat1,100,g,80.4,6.6,7.9,404,crea-2019
crea,000960,"Biscotti, alla soia",it,,cat1,100,g,70.8,11.5,6.1,375,crea-2019
crea,000970,"Biscotti, integrali, con soia",it,,cat1,100,g,60.4,11.5,20.4,464,crea-2019
crea,000990,"Biscotti, wafers",it,,cat1,100,g,76.2,7.1,15,452,crea-2019
crea,001000,"Crackers, al formaggio",it,,cat1,100,g,59.2,10.1,25.5,498,crea-2019
crea,001010,"Crackers, alla soia",it,,cat1,100,g,67.7,13.1,11.7,421,crea-2019
crea,001020,"Crackers, salati",it,,cat1,100,g,67.5,9.4,10,386,crea-2019
crea,001030,"Crackers, integrali",it,,cat1,100,g,61.7,12,11.4,402,crea-2019
crea,001500,Fette biscottate,it,,cat1,100,g,75,11.3,6,387,crea-2019
crea,001510,"Fette biscottate, integrali",it,,cat1,100,g,63,14.2,10,394,crea-2019
crea,002000,Grissini,it,,cat1,100,g,65.1,11.3,13.9,421,crea-2019
crea,002500,Cornetti,it,,cat1,100,g,54.7,7.2,18.3,403,crea-2019
crea,002510,Croissants,it,,cat1,100,g,38,8.3,20.3,362,crea-2019
crea,003000,Bastoncini di crusca di frumento,it,,cat1,100,g,38.4,14,3.2,301,crea-2019
crea,003020,Corn flakes,it,,cat1,100,g,87.4,6.6,0.8,367,crea-2019
crea,003030,Fiocchi d'avena,it,,cat1,100,g,66.8,8,7.5,367,crea-2019
crea,003040,Muesli,it,,cat1,100,g,71.7,9.7,6,374,crea-2019
crea,003050,"Riso, soffiato, da prima colazione",it,,cat1,100,g,85.1,6,1,354,crea-2019
crea,004000,"Ceci, secchi",it,,cat2,100,g,46.9,20.9,6.3,343,crea-2019
crea,004005,"Ceci, secchi, cotti, bolliti",it,,cat2,100,g,18.9,7,2.4,132,crea-2019
crea,004010,"Ceci, in scatola, scolati",it,,cat2,100,g,13.9,6.7,2.3,111,crea-2019
crea,004100,Fagioli,it,,cat2,100,g,47.5,23.6,2,326,crea-2019
crea,004105,"Fagioli, cotti, bolliti",it,,cat2,100,g,17,7.9,0.7,117,crea-2019
crea,004110,"Fagioli, Borlotti, freschi",it,,cat2,100,g,22.7,10.2,0.8,143,crea-2019
crea,004115,"Fagioli, Borlotti, freschi, cotti, bolliti",it,,cat2,100,g,11.2,5.7,0.5,78,crea-2019
crea,004120,"Fagioli, Borlotti, secchi",it,,cat2,100,g,47.7,20.2,2,312,crea-2019
crea,004125,"Fagioli, Borlotti, secchi, cotti, bolliti",it,,cat2,100,g,16.4,6.9,0.4,106,crea-2019
crea,004130,"Fagioli, Borlotti, in scatola, scolati",it,,cat2,100,g,15.9,6.7,0.5,102,crea-2019
crea,004200,"Fagioli, Cannellini, secchi",it,,cat2,100,g,45.5,23.4,1.6,314,crea-2019
crea,004205,"Fagioli, Cannellini, secchi, cotti, bolliti",it,,cat2,100,g,14.9,8,0.4,107,crea-2019
crea,004210,"Fagioli, Cannellini in scatola, scolati",it,,cat2,100,g,12.5,6,0.6,86,crea-2019
crea,004220,"Fagioli dall'occhio, secchi",it,,cat2,100,g,50.9,22.4,1.4,318,crea-2019
crea,004305,"Fagiolini a corallo, cotti, bolliti",it,,cat2,100,g,4.6,1.7,0.1,31,crea-2019
crea,004310,"Fagiolini, freschi",it,,cat2,100,g,2.4,2.1,0.1,24,crea-2019
crea,004325,"Fagiolini, surgelati, cotti, bolliti",it,,cat2,100,g,4.6,1.7,0.1,31,crea-2019
crea,004400,"Fave, fresche",it,,cat2,100,g,4.5,5.2,0.4,51,crea-2019
crea,004406,"Fave, fresche, cotte, in padella",it,,cat2,100,g,5.3,6.1,0.5,61,crea-2019
crea,004410,"Fave, secche",it,,cat2,100,g,52.8,21.3,2.1,331,crea-2019
crea,004420,"Fave, secche, sgusciate, crude",it,,cat2,100,g,53.6,25.2,3,343,crea-2019
crea,004425,"Fave, secche, sgusciate, cotte, bollite",it,,cat2,100,g,22.4,11,1.3,146,crea-2019
crea,004500,"Lenticchie, secche",it,,cat2,100,g,51.1,22.7,1,319,crea-2019
crea,004505,"Lenticchie, secche, cotte, bollite",it,,cat2,100,g,16.3,6.9,0.4,109,crea-2019
crea,004510,"Lenticchie, in scatola, scolate",it,,cat2,100,g,15.4,5,0.5,91,crea-2019
crea,004600,"Lupini, ammollati",it,,cat2,100,g,7.1,16.4,2.4,119,crea-2019
crea,004700,"Piselli, freschi",it,,cat2,100,g,6.5,5.5,0.6,64,crea-2019
crea,004706,"Piselli, freschi, cotti, in padella",it,,cat2,100,g,11.5,9.7,1,104,crea-2019
crea,004710,"Piselli, secchi",it,,cat2,100,g,48.2,21.7,2,317,crea-2019
crea,004720,"Piselli, in scatola, scolati",it,,cat2,100,g,11.1,5.3,0.6,78,crea-2019
crea,004730,"Piselli, surgelati",it,,cat2,100,g,6.5,5.4,0.3,61,crea-2019
crea,004900,"Soia, secca",it,,cat2,100,g,23.2,36.9,19.1,430,crea-2019
crea,004910,"Soia, isolato proteico",it,,cat2,100,g,4.5,86.5,0.7,369,crea-2019
